scenario,scenario_label,domain,metric,label,unit,year_2010,base_year,target_year,value_2010,value_base,value_2050,growth_2010_to_base_pct,growth_2010_to_2050_pct,growth_base_to_2050_pct,data_type_2010,data_type_base,data_type_2050,source_id,note
linear_trend_2000_base_year,Tendance linéaire,Démographie,population,Population résidante,habitants,2010,2024,2050,453292,524410,655865,15.69,44.69,25.07,observed,observed,estimated,ocstat_geneva_population,Population observée puis scénario 2050.
linear_trend_2000_base_year,Tendance linéaire,Démographie,annual_growth,Croissance annuelle,habitants/an,2010,2024,2050,7186,10296,5056,43.28,-29.64,-50.89,observed,observed,estimated,ocstat_geneva_population,Variation annuelle observée; 2050 correspond à la croissance annuelle du scénario.
linear_trend_2000_base_year,Tendance linéaire,Démographie,population_growth_cumulative,Croissance cumulée population,%,2010,2024,2050,0,15.69,44.69,15.69,44.69,29,observed,observed,estimated,ocstat_geneva_population,"Croissance réelle cumulée depuis 2010: 2010 = 0 %, base observée puis projection 2050 selon le scénario."
linear_trend_2000_base_year,Tendance linéaire,Économie,gdp,PIB cantonal,M CHF,2010,2024,2050,48388.04695,62877,102270.11,29.94,111.35,62.65,observed,observed,estimated,bfs_ocstat_geneva_gdp,PIB cantonal; 2050 estimé par CAGR 2010-base si la série est fournie.
linear_trend_2000_base_year,Tendance linéaire,Logement,housing_stock,Logements totaux,logements,2010,2024,2050,215840.18,251810,314408,16.67,45.67,24.86,estimated,observed,estimated,ocstat_geneva_housing,"Stock observé depuis la première année disponible; 2010 est une estimation extrapolée linéairement pour afficher la croissance cumulée, 2050 = stock base + besoin additionnel du scénario."
linear_trend_2000_base_year,Tendance linéaire,Logement,subsidized_housing,Logements subventionnés,logements,2010,2024,2050,19415,22128,,13.97,,,observed,observed,missing,ocstat_geneva_housing_subsidized,Série observée sans projection politique 2050.
linear_trend_2000_base_year,Tendance linéaire,Écoles,students,Élèves et étudiants,personnes,2010,2024,2050,102659,121819,167391.8,18.66,63.06,37.41,observed,observed,estimated,ge_education_annuary,Effectifs scolaires; 2050 estimé par tendance si la série est fournie.
linear_trend_2000_base_year,Tendance linéaire,Écoles,school_classes,Classes scolaires,classes,2010,2024,2050,,5489,6241,,,13.7,missing,estimated,estimated,ge_education_annuary,Classes équivalentes estimées depuis les effectifs et la taille moyenne OFS; 2050 = base estimée + besoin additionnel.
linear_trend_2000_base_year,Tendance linéaire,Tension,absorption_pressure,Tension d’absorption,points,2010,2024,2050,0,19.75,52.4,19.75,52.4,0,observed,estimated,estimated,absorption_pressure_v1,"Indice composite V1: effort d’absorption logement 35%, écoles 20%, santé 20%, transports 25%. L’impact coût correspond à l’écart de tension du scénario par rapport à la tendance actuelle."
linear_trend_2000_base_year,Tendance linéaire,Aide sociale,social_assistance_spending,Aide sociale économique (Suisse),M CHF,2010,2024,2050,1931.95292,2585.633862,4442.49,33.84,129.95,71.81,official_proxy,official_proxy,estimated,bfs_fibs_social_assistance_ch,Dépenses nettes d’aide sociale économique OFS FIBS Suisse; proxy de croissance en attente de l’export cantonal Genève. 2050 = tendance coût ajustée par l’écart de tension vs tendance actuelle.
