year,scenario,population,additional_population_since_start,required_housing_units,required_classes,required_doctors,required_hospital_beds,required_daily_transit_trips,required_water_m3_day,required_waste_tons_year,required_electricity_gwh_year
2024,linear_trend_2000_base_year,524410,0,0,0,0,0,0,0,0,0
2025,linear_trend_2000_base_year,529466,5056,2408,29,23,16,15168,759,1770,32.9
2026,linear_trend_2000_base_year,534522,10112,4816,58,46,31,30336,1517,3540,65.7
2027,linear_trend_2000_base_year,539578,15168,7223,87,69,46,45504,2276,5309,98.6
2028,linear_trend_2000_base_year,544634,20224,9631,116,92,61,60672,3034,7079,131.5
2029,linear_trend_2000_base_year,549690,25280,12039,145,114,76,75840,3792,8848,164.3
2030,linear_trend_2000_base_year,554746,30336,14446,174,137,92,91008,4551,10618,197.2
2031,linear_trend_2000_base_year,559802,35392,16854,203,160,107,106176,5309,12388,230
2032,linear_trend_2000_base_year,564858,40448,19261,232,183,122,121344,6068,14157,262.9
2033,linear_trend_2000_base_year,569914,45504,21669,261,205,137,136512,6826,15927,295.8
2034,linear_trend_2000_base_year,574970,50560,24077,289,228,152,151680,7584,17696,328.6
2035,linear_trend_2000_base_year,580026,55616,26484,318,251,167,166848,8343,19466,361.5
2036,linear_trend_2000_base_year,585082,60672,28892,347,274,183,182016,9101,21236,394.4
2037,linear_trend_2000_base_year,590137,65727,31299,376,296,198,197181,9860,23005,427.2
2038,linear_trend_2000_base_year,595193,70783,33707,405,319,213,212349,10618,24775,460.1
2039,linear_trend_2000_base_year,600249,75839,36114,434,342,228,227517,11376,26544,493
2040,linear_trend_2000_base_year,605305,80895,38522,463,365,243,242685,12135,28314,525.8
2041,linear_trend_2000_base_year,610361,85951,40930,492,387,258,257853,12893,30083,558.7
2042,linear_trend_2000_base_year,615417,91007,43337,521,410,274,273021,13652,31853,591.5
2043,linear_trend_2000_base_year,620473,96063,45745,549,433,289,288189,14410,33623,624.4
2044,linear_trend_2000_base_year,625529,101119,48152,578,456,304,303357,15168,35392,657.3
2045,linear_trend_2000_base_year,630585,106175,50560,607,478,319,318525,15927,37162,690.1
2046,linear_trend_2000_base_year,635641,111231,52968,636,501,334,333693,16685,38931,723
2047,linear_trend_2000_base_year,640697,116287,55375,665,524,349,348861,17444,40701,755.9
2048,linear_trend_2000_base_year,645753,121343,57783,694,547,365,364029,18202,42471,788.7
2049,linear_trend_2000_base_year,650809,126399,60190,723,569,380,379197,18960,44240,821.6
2050,linear_trend_2000_base_year,655865,131455,62598,752,592,395,394365,19719,46010,854.5
2024,cagr_trend_2000_base_year,524410,0,0,0,0,0,0,0,0,0
2025,cagr_trend_2000_base_year,530192,5782,2754,34,27,18,17346,868,2024,37.6
2026,cagr_trend_2000_base_year,536038,11628,5538,67,53,35,34884,1745,4070,75.6
