year,scenario,population,annual_growth,total_growth_since_base_year,notes
1981,observed,6335243,,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1982,observed,6372904,37661,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1983,observed,6409713,36809,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1984,observed,6427833,18120,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1985,observed,6455896,28063,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1986,observed,6484834,28938,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1987,observed,6523413,38579,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1988,observed,6566799,43386,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1989,observed,6619973,53174,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1990,observed,6673850,53877,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1991,observed,6757188,83338,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1992,observed,6842768,85580,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1993,observed,6907959,65191,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1994,observed,6968570,60611,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1995,observed,7019019,50449,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1996,observed,7062354,43335,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1997,observed,7081346,18992,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1998,observed,7096465,15119,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1999,observed,7123537,27072,,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
