year,scenario,population,annual_growth,total_growth_since_base_year,notes
1981,observed,349562,,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1982,observed,352461,2899,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1983,observed,355806,3345,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1984,observed,357752,1946,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1985,observed,360462,2710,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1986,observed,362157,1695,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1987,observed,363550,1393,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1988,observed,365525,1975,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1989,observed,371356,5831,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1990,observed,373019,1663,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1991,observed,378655,5636,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1992,observed,381404,2749,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1993,observed,383911,2507,,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
