year,scenario,scenario_label,total_state_budget_million_chf,health_premium_subsidy_cantonal_million_chf,transport_operating_subsidy_million_chf,housing_aid_subsidies_million_chf,social_assistance_geneva_million_chf,other_state_budget_million_chf,cohesion_sociale_million_chf,formation_million_chf,sante_million_chf,mobilite_million_chf,securite_population_million_chf,justice_million_chf,amenagement_logement_million_chf,environnement_energie_million_chf,etats_majors_transversal_million_chf,impots_finances_million_chf,culture_sport_loisirs_million_chf,economie_emploi_million_chf,data_type,source_id,source_note
2010,observed,Observé,7869,158.2,183.54,,,7527.26,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2011,observed,Observé,7791.77,124.8,203.42,,,7463.55,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2012,observed,Observé,8028.59,137.3,222.05,,,7669.24,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2013,observed,Observé,,143.8,204.69,,,,,,,,,,,,,,,,mixed_observed,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2014,observed,Observé,,146.4,207.28,,,,,,,,,,,,,,,,mixed_observed,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2015,observed,Observé,7819.4,161.4,221.62,,,7436.38,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2016,observed,Observé,7911.8,168.1,223.75,,,7519.95,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2017,observed,Observé,8145.1,171,236.41,,,7737.69,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2018,observed,Observé,8341.04,174.85,240.45,,,7925.74,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2019,observed,Observé,8710.19,177.35,211.41,,,8321.43,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2020,observed,Observé,9129.99,348.01,251.42,,,8530.56,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2021,observed,Observé,10030.6,385.34,266.12,,,9379.14,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2022,observed,Observé,10459.6,378.95,268.7,,,9811.95,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2023,observed,Observé,11480.9,424.73,273.98,,,10782.19,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
2024,observed,Observé,10999.6,447.77,283.37,,,10268.46,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals;ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch;tpg_annual_reports_finance,Historique nominal. Les postes par politique publique sont affichés si un CSV manuel officiel est installé; sinon le reste du budget est agrégé dans “Autres postes”.
