year,population,total_growth,births,deaths,natural_balance,immigration,emigration,net_migration,fertility_rate,data_type,source_id,source_note
1981,6335243,,73747,59763,13984,121420,,,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1982,6372904,37661,74916,59204,15712,114290,92341,21949,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1983,6409713,36809,73659,60756,12903,96500,72594,23906,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1984,6427833,18120,74710,58602,16108,96880,94868,2012,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1985,6455896,28063,74684,59583,15101,98866,85904,12962,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1986,6484834,28938,76320,60105,16215,107222,94499,12723,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1987,6523413,38579,76505,59511,16994,112721,91136,21585,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1988,6566799,43386,80345,60648,19697,124984,101295,23689,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1989,6619973,53174,81180,60882,20298,130198,97322,32876,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1990,6673850,53877,83939,63739,20200,154244,120567,33677,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1991,6757188,83338,86200,62634,23566,164773,105001,59772,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1992,6842768,85580,86910,62302,24608,157190,96218,60972,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1993,6907959,65191,83762,62512,21250,144537,100596,43941,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1994,6968570,60611,82980,61987,20993,130188,90570,39618,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
