year,population,total_growth,births,deaths,natural_balance,immigration,emigration,net_migration,net_migration_share_of_growth,data_type,source_id,source_note
1981,349562,,3562,3145,417,10881,,,,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1982,352461,2899,3628,3182,446,12129,9676,2453,0.8462,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1983,355806,3345,3619,3112,507,11013,8175,2838,0.8484,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1984,357752,1946,3768,3167,601,12058,10713,1345,0.6912,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1985,360462,2710,3693,3138,555,11156,9001,2155,0.7952,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1986,362157,1695,3934,3007,927,11038,10270,768,0.4531,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1987,363550,1393,3864,3102,762,10942,10311,631,0.453,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1988,365525,1975,4254,3198,1056,16017,15098,919,0.4653,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1989,371356,5831,4268,3124,1144,14582,9895,4687,0.8038,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1990,373019,1663,4377,3242,1135,16599,16071,528,0.3175,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1991,378655,5636,4739,3244,1495,17053,12912,4141,0.7347,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1992,381404,2749,4695,3084,1611,16141,15003,1138,0.414,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1993,383911,2507,4655,3136,1519,16238,15250,988,0.3941,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1994,387606,3695,4635,3211,1424,15295,13024,2271,0.6146,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1995,391699,4093,4629,3172,1457,14588,11952,2636,0.644,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1996,395466,3767,4853,3233,1620,11799,9652,2147,0.5699,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1997,394588,-878,4612,3158,1454,13121,15453,-2332,2.656,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1998,396659,2071,4455,3198,1257,13532,12718,814,0.393,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
1999,398910,2251,4598,3089,1509,14661,13919,742,0.3296,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2000,403067,4157,4828,3034,1794,15386,13023,2363,0.5684,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2001,408146,5079,4526,3001,1525,16096,12542,3554,0.6997,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2002,413618,5472,4646,3076,1570,16417,12515,3902,0.7131,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2003,418747,5129,4368,3230,1138,17306,13315,3991,0.7781,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2004,423993,5246,4714,2919,1795,16250,12799,3451,0.6578,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2005,427396,3403,4806,3054,1752,16259,14608,1651,0.4852,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2006,430638,3242,4735,3012,1723,17389,15870,1519,0.4685,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2007,433235,2597,4804,3086,1718,20433,19554,879,0.3385,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2008,438177,4942,4787,3065,1722,23170,19950,3220,0.6516,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2009,446106,7929,4837,3140,1697,21681,15449,6232,0.786,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2010,453292,7186,5007,3123,1884,22272,16970,5302,0.7378,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2011,457715,4423,4981,3045,1936,19660,17173,2487,0.5623,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2012,460534,2819,5030,3151,1879,19561,18621,940,0.3335,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2013,463101,2567,5167,3322,1845,23897,23175,722,0.2813,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2014,469433,6332,5282,3159,2123,23269,19060,4209,0.6647,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2015,477385,7952,5388,3405,1983,24640,18671,5969,0.7506,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
2016,484736,7351,5361,3220,2141,21167,15957,5210,0.7087,observed,bfs_statpop_population_balance,"OFS STATPOP / PX-Web, bilan démographique institutionnel filtré sur Genève. Population issue de l'effectif disponible dans l'export OFS; variation et migration nette dérivées si absentes."
