year,gdp_million_chf,gdp_per_capita_chf,jobs,data_type,source_id,source_note
2008,47597.2914,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2009,46480.21062,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2010,48388.04695,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2011,48535.59144,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2012,49396.84318,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2013,50196.61483,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2014,50311.47867,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2015,50042.25798,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2016,50364.83604,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2017,51443.49671,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2018,53899.99455,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2019,54591.22122,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2020,52015.88663,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2021,56228.85977,,,official,bfs_ocstat_geneva_gdp,"PIB cantonal Genève, fichier manuel Excel."
2023,62216,119817,,official,bfs_ocstat_geneva_gdp,"OCSTAT Mémento statistique du canton de Genève 2025, PIB 2023 provisoire."
2024,62877,119152,,official,bfs_ocstat_geneva_gdp,"OCSTAT Mémento statistique du canton de Genève 2025, PIB 2024 provisoire."
