year,students_public_subsidized,students_private,students_total,school_classes,teachers_fte,students_per_class,data_type,source_id,source_note
2010,90444,12215,102659,,5406.5,,official,ge_education_annuary,"Annuaire statistique de l’enseignement public et privé à Genève 2025, page imprimable SRED/OCSTAT; 2021-2024 public reconstruit par somme des degrés publiés."
2014,,,,,,19.32,official,bfs_class_size,"OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2015,95888,12872,108760,,5786.3,19.42,official,ge_education_annuary;bfs_class_size,"Annuaire statistique de l’enseignement public et privé à Genève 2025, page imprimable SRED/OCSTAT; 2021-2024 public reconstruit par somme des degrés publiés. OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2016,,,,,,19.52,official,bfs_class_size,"OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2017,,,,,,19.49,official,bfs_class_size,"OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2018,,,,,,19.6,official,bfs_class_size,"OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2019,,,,,,19.7,official,bfs_class_size,"OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2020,,,,,6165.1,19.67,official,ge_education_annuary;bfs_class_size,"Annuaire statistique de l’enseignement public et privé à Genève 2025, page imprimable SRED/OCSTAT; 2021-2024 public reconstruit par somme des degrés publiés. OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2021,103951,13599,117550,,,19.54,official,ge_education_annuary;bfs_class_size,"Annuaire statistique de l’enseignement public et privé à Genève 2025, page imprimable SRED/OCSTAT; 2021-2024 public reconstruit par somme des degrés publiés. OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2022,104724,14164,118888,,,19.5,official,ge_education_annuary;bfs_class_size,"Annuaire statistique de l’enseignement public et privé à Genève 2025, page imprimable SRED/OCSTAT; 2021-2024 public reconstruit par somme des degrés publiés. OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2023,105418,14469,119887,,,19.54,official,ge_education_annuary;bfs_class_size,"Annuaire statistique de l’enseignement public et privé à Genève 2025, page imprimable SRED/OCSTAT; 2021-2024 public reconstruit par somme des degrés publiés. OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2024,107205,14614,121819,,9549.5,19.53,official,ge_education_annuary;bfs_class_size,"Annuaire statistique de l’enseignement public et privé à Genève 2025, page imprimable SRED/OCSTAT; 2021-2024 public reconstruit par somme des degrés publiés. OFS asset 36520014, taille moyenne des classes dans les institutions publiques, canton de Genève; moyenne simple des degrés primaire 1-2, primaire 3-8 et secondaire I."
2025,108500,14271,122771,,9699.6,,official,ge_education_annuary,"Annuaire statistique de l’enseignement public et privé à Genève 2025, page imprimable SRED/OCSTAT; 2021-2024 public reconstruit par somme des degrés publiés."
