year,population,lamal_average_premium,health_cost_per_insured,physicians,total_hospital_beds,share_65_plus,physicians_per_1000,beds_per_1000,premium_index,data_type,source_id,source_note
1960,,,,,,0.1189,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1961,,,,,,0.1194,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1962,,,,,,0.1174,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1963,,,,,,0.1159,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1964,,,,,,0.1154,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1965,,,,,,0.1162,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1966,,,,,,0.1156,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1967,,,,,,0.116,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1968,,,,,,0.1161,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1969,,,,,,0.1164,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1970,,,,,,0.1181,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1971,,,,,,0.1197,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1972,,,,,,0.1213,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1973,,,,,,0.1231,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1974,,,,,,0.1248,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1975,,,,,,0.127,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1976,,,,,,0.1286,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1977,,,,,,0.13,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1978,,,,,,0.1307,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1979,,,,,,0.1319,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1980,,,,,,0.1315,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1981,349562,,,,,0.1307,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1982,352461,,,,,0.1296,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1983,355806,,,,,0.1284,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1984,357752,,,,,0.1279,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1985,360462,,,,,0.129,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1986,362157,,,,,0.1304,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
1987,363550,,,,,0.1318,,,,official,ocstat_geneva_health_system,"OCSTAT système de santé et population: lits hospitaliers T 14.02.1.03, médecins T 14.02.5.10 et population par groupes d’âge T 01.01.1.03A."
