year,beneficiaries,beneficiary_rate,subsidy_amount_million_chf,federal_share,cantonal_share,average_subsidy_per_beneficiary,data_type,source_id,source_note
1996,96693,0.253882,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
1997,114815,0.302895,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
1998,162941,0.427013,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
1999,161356,0.420534,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2000,162718,0.421908,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2001,156141,0.401639,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2002,168200,0.424799,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2003,173433,0.437607,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2004,151764,0.380034,,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2005,147473,0.367339,241.12,0.424576,0.575424,1635.03,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2006,127223,0.31361,242.9,0.453451,0.546549,1909.22,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2007,133427,0.327836,255.68,0.455014,0.544986,1916.29,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2008,134027,0.326825,248.87,0.418301,0.581699,1856.84,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2009,132069,0.319034,246.84,0.428787,0.571213,1869,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2010,135627,0.32412,273.5,0.421572,0.578428,2016.56,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2011,110955,0.262502,248.7,0.498191,0.501809,2241.45,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2012,113795,0.266264,263,0.477947,0.522053,2311.17,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2013,114913,0.265818,271.1,0.469568,0.530432,2359.18,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2014,115016,0.2628,276.9,0.471289,0.528711,2407.49,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2015,121936,0.274236,298.6,0.459478,0.540522,2448.83,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2016,123622,0.27475,313.47,0.463758,0.536242,2535.68,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2017,120208,0.265,326.52,0.476293,0.523707,2716.33,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2018,120173,0.263,339.54,0.485051,0.514949,2825.44,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2019,124406,0.27,348.35,0.49089,0.50911,2800.07,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2020,187777,0.403873,521.9,0.333183,0.666817,2779.37,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2021,203386,0.435293,562.72,0.315211,0.684789,2766.76,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2022,201205,0.425063,556.2,0.318685,0.681315,2764.34,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2023,208810,0.43479,613.82,0.308057,0.691943,2939.6,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
2024,213842,0.439166,656.23,0.317661,0.682339,3068.76,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève.
