year,hbm_total,hbm_lup,hlm_total,hlm_lup,hcm_total,hcm_lup,hm_total,hm_lup,subsidized_total,subsidized_lup_total,data_type,source_id,source_note
1977,3023,,30102,,6181,,,,39306,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1978,3064,,30181,,6588,,,,39833,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1979,3154,,29894,,7064,,,,40112,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1980,3154,,29857,,7368,,,,40379,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1981,3153,,28848,,7547,,,,39548,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1982,3209,,28092,,7708,,,,39009,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1983,3559,,26515,,7066,,,,37140,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1984,3559,,26063,,6265,,,,35887,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1985,3559,,25309,,5309,,,,34177,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1986,3559,,23833,,5317,,,,32709,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1987,3565,,23111,,4638,,,,31314,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1988,3565,,23465,,4540,,,,31570,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1989,3535,,21733,,3950,,,,29218,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1990,3535,,21945,,3001,,,,28481,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1991,3679,,22129,,2787,,,,28595,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1992,3703,,21717,,2840,,,,28260,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1993,3724,,21576,,2644,,,,27944,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1994,3741,,21439,,2497,,,,27677,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1995,4019,,20968,,2258,,,,27245,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1996,4273,,21134,,2348,,,,27755,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1997,4329,,20350,,2295,,27,,27001,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1998,4472,,18960,,2264,,166,,25862,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
1999,4761,,17036,,2302,,377,,24476,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2000,4808,,16105,,2275,,377,,23565,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2001,4976,,15682,,2182,,414,,23254,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2002,5144,,15109,,1986,,531,,22770,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2003,5272,,15355,,1814,,624,,23065,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2004,5476,,14803,,1360,,757,,22396,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2005,5665,,14149,,1315,,1008,,22137,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2006,5665,,13704,,997,,1256,,21622,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2007,5659,,13161,,606,,1365,,20791,,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2008,5849,5661,12269,73,409,,1548,,20075,5734,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
2009,5942,5759,11735,389,263,24,1747,18,19687,6190,official,ocstat_geneva_housing_subsidized,"OCSTAT tableau T 09.02.1.2.05, logements subventionnés selon le type."
