year,transport_revenue_million_chf,subscriptions_revenue_million_chf,operating_subsidy_million_chf,operating_expenses_million_chf,adult_annual_subscription_chf,data_type,source_id,source_note
2009,,,,330.41,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2010.pdf, extraction automatique des lignes financières."
2010,127.9,,183.54,354.89,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2011.pdf, extraction automatique des lignes financières."
2011,135.23,,203.42,369.92,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2012.pdf, extraction automatique des lignes financières."
2012,144.33,,222.05,399.83,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2013.pdf, extraction automatique des lignes financières."
2013,152.13,,204.69,388.5,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2014.pdf, extraction automatique des lignes financières."
2014,153.68,,207.28,382.22,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2015.pdf, extraction automatique des lignes financières."
2015,142.59,,221.62,414.5,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2016.pdf, extraction automatique des lignes financières."
2016,145.3,,223.75,415.31,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2017.pdf, extraction automatique des lignes financières."
2017,146.09,,236.41,428.97,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2018.pdf, extraction automatique des lignes financières."
2018,150.72,,240.45,440.12,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2019.pdf, extraction automatique des lignes financières."
2019,153.75,,211.41,460.23,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2020.pdf, extraction automatique des lignes financières."
2020,115.85,,251.42,472.54,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2021.pdf, extraction automatique des lignes financières."
2021,121.8,,266.12,493.49,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2022.pdf, extraction automatique des lignes financières."
2022,142.79,,268.7,504.32,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2023.pdf, extraction automatique des lignes financières."
2023,152.79,,273.98,523.43,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2024.pdf, extraction automatique des lignes financières."
2024,156.55,,283.37,551.98,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2025.pdf, extraction automatique des lignes financières."
2025,167.38,,312.68,598,,official,tpg_annual_reports_finance,"TPG PDF tpg_rapport_2025.pdf, extraction automatique des lignes financières."
