year,social_assistance_million_chf,health_premium_subsidy_cantonal_million_chf,health_premium_subsidy_total_million_chf,data_type,source_id,source_note
1996,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale.
1997,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale.
1998,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale.
1999,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale.
2000,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale.
2001,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale.
2002,,,,official,ofsp_health_premium_subsidies,OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale.
2003,1224.409701,,,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2004,1499.322279,,,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2005,1697.375018,138.75,241.12,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2006,1868.293566,132.76,242.9,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2007,1852.320495,139.34,255.68,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2008,1763.443364,144.77,248.87,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2009,1757.098758,141,246.84,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2010,1931.95292,158.2,273.5,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2011,2047.986737,124.8,248.7,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2012,2356.694667,137.3,263,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2013,2430.195857,143.8,271.1,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2014,2569.401279,146.4,276.9,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
2015,2624.340145,161.4,298.6,official_proxy,ofsp_health_premium_subsidies;bfs_fibs_social_assistance_ch,"OFSP Dashboard assurance-maladie: réduction des primes AOS Genève; part cantonale calculée depuis le total et la part cantonale. OFS FIBS tableau T 13.05.02.02, dépenses nettes d’aide sociale économique pour la Suisse, en millions CHF à prix courants; proxy de croissance en attente de l’export cantonal Genève."
