year,total_charges_million_chf,cohesion_sociale_million_chf,formation_million_chf,sante_million_chf,mobilite_million_chf,securite_population_million_chf,justice_million_chf,amenagement_logement_million_chf,environnement_energie_million_chf,etats_majors_transversal_million_chf,impots_finances_million_chf,culture_sport_loisirs_million_chf,economie_emploi_million_chf,data_type,source_id,source_note
2010,7869,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals,"Compte 2010, total des charges de fonctionnement, tableau par nature repris dans PL 10866."
2011,7791.77,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals,"Budget 2011, charges de fonctionnement hors imputations internes et subventions redistribuées, PL 10739."
2012,8028.59,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals,"Budget 2012, charges de fonctionnement hors imputations internes et subventions redistribuées, PL 10866."
2015,7819.4,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals,"Budget 2015, charges de fonctionnement, référence reprise dans PL 11968."
2016,7911.8,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals,"Budget 2016, charges de fonctionnement recalculées depuis PL 11968: PB 2017 8 145,1 M CHF, +233,3 M CHF vs budget 2016."
2017,8145.1,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals,"Compte 2017, charges de fonctionnement hors imputations internes et subventions à redistribuer, repris dans PL 12394."
2018,8341.04,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals,"Budget 2018, charges de fonctionnement hors imputations internes et subventions à redistribuer, repris dans PL 12394."
2019,8710.19,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals,"Compte 2019, charges de fonctionnement hors imputations internes et subventions à redistribuer, repris dans PL 12779."
2020,9129.99,,,,,,,,,,,,,official_budget,geneva_state_budget_functioning_totals,"Budget 2020, charges de fonctionnement hors imputations internes et subventions à redistribuer, repris dans PL 12779."
2021,10030.6,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals,"Compte 2021, charges de fonctionnement hors imputations internes et subventions à redistribuer, repris dans PL 13178."
2022,10459.6,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals,"Compte 2022, charges de fonctionnement hors imputations internes et subventions à redistribuer, repris dans PL 13360."
2023,11480.9,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals,"Compte 2023, charges de fonctionnement hors imputations internes et subventions à redistribuer, repris dans PL 13535-A."
2024,10999.6,,,,,,,,,,,,,official_account,geneva_state_budget_functioning_totals,"Compte 2024, charges de fonctionnement hors imputations internes et subventions à redistribuer, repris dans PL 13693-A."
2025,10891.8,,,,,,,,,,,,,official_budget,geneva_budget_2025_state_budget,"Budget 2025, charges de fonctionnement hors imputations internes et subventions à redistribuer, PL 13535-A."
