year,population,jobs,cross_border_workers,tpg_passengers,public_transport_capacity_index,road_traffic_index,passengers_per_resident,cross_border_workers_per_1000_residents,data_type,source_id,source_note
2000,403067,,29238,125225000,98.4,115.5,310.7,72.5,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2001,408146,,32414,126717000,100.1,118.7,310.5,79.4,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2002,413618,,35079,125417000,102.1,120.9,303.2,84.8,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2003,418747,,37564,123447000,102.1,122.8,294.8,89.7,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2004,423993,,41795,117813000,106.3,124.3,277.9,98.6,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2005,427396,293302,45656,125355000,116.4,125.2,293.3,106.8,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2006,430638,,50257,135103000,115,124.6,313.7,116.7,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2007,433235,,54170,151843000,114.8,124.4,350.5,125,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2008,438177,323332,56794,167967000,122.1,123.1,383.3,129.6,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2009,446106,,57678,169941000,118.9,122.7,380.9,129.3,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2010,453292,,61018,172057000,128.8,124.2,379.6,134.6,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2011,457715,354238,67059,177128000,136,125.8,387,146.5,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2012,460534,357202,70699,192344000,141.8,127.3,417.7,153.5,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2013,463101,360433,73611,196640000,145.9,127.2,424.6,159,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2014,469433,365790,76298,197077000,146.2,127.9,419.8,162.5,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2015,477385,369684,78421,200282000,148.3,129.4,419.5,164.3,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2016,484736,374866,81732,213809000,147.7,130.3,441.1,168.6,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2017,489524,381376,83939,212552000,111.1,130.9,434.2,171.5,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2018,495249,389997,86355,215424000,115.7,132.7,435,174.4,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2019,499480,398652,90500,222857000,113.9,132.5,446.2,181.2,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2020,504128,392720,90421,147835000,114.1,133.2,293.2,179.4,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2021,506343,405551,95874,162701000,121.6,133.6,321.3,189.3,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2022,509448,419329,102680,197152000,122.6,133.2,387,201.6,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2023,514114,427656,107166,216614000,122.5,133.2,421.3,208.4,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2024,524410,,,222254000,122.3,133.2,423.8,,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
2025,,,,,,133,,,official,ocstat_geneva_transport;ocstat_geneva_frontaliers,"OCSTAT TPG T 11.04.1.01, frontaliers T 03.05.2.04 et véhicules T 11.02.01; indices base première année disponible."
