"Année","Canton (-) / District (>>) / Commune (......)","Nationalité (catégorie)","Sexe","Effectif au 1er janvier","Naissance vivante","Décès","Accroissement naturel","Immigration, y compris les changements de type de population"
"1981","Suisse","Nationalité (catégorie) - total","Sexe - total",6335243,73747,59763,13984,121420
"1982","Suisse","Nationalité (catégorie) - total","Sexe - total",6372904,74916,59204,15712,114290
"1983","Suisse","Nationalité (catégorie) - total","Sexe - total",6409713,73659,60756,12903,96500
"1984","Suisse","Nationalité (catégorie) - total","Sexe - total",6427833,74710,58602,16108,96880
"1985","Suisse","Nationalité (catégorie) - total","Sexe - total",6455896,74684,59583,15101,98866
"1986","Suisse","Nationalité (catégorie) - total","Sexe - total",6484834,76320,60105,16215,107222
"1987","Suisse","Nationalité (catégorie) - total","Sexe - total",6523413,76505,59511,16994,112721
"1988","Suisse","Nationalité (catégorie) - total","Sexe - total",6566799,80345,60648,19697,124984
"1989","Suisse","Nationalité (catégorie) - total","Sexe - total",6619973,81180,60882,20298,130198
"1990","Suisse","Nationalité (catégorie) - total","Sexe - total",6673850,83939,63739,20200,154244
"1991","Suisse","Nationalité (catégorie) - total","Sexe - total",6757188,86200,62634,23566,164773
"1992","Suisse","Nationalité (catégorie) - total","Sexe - total",6842768,86910,62302,24608,157190
"1993","Suisse","Nationalité (catégorie) - total","Sexe - total",6907959,83762,62512,21250,144537
"1994","Suisse","Nationalité (catégorie) - total","Sexe - total",6968570,82980,61987,20993,130188
"1995","Suisse","Nationalité (catégorie) - total","Sexe - total",7019019,82203,63387,18816,113967
"1996","Suisse","Nationalité (catégorie) - total","Sexe - total",7062354,83007,62637,20370,97591
"1997","Suisse","Nationalité (catégorie) - total","Sexe - total",7081346,80584,62839,17745,91687
"1998","Suisse","Nationalité (catégorie) - total","Sexe - total",7096465,78949,62569,16380,95955
"1999","Suisse","Nationalité (catégorie) - total","Sexe - total",7123537,78408,62503,15905,107953
"2000","Suisse","Nationalité (catégorie) - total","Sexe - total",7164444,78458,62528,15930,110302
"2001","Suisse","Nationalité (catégorie) - total","Sexe - total",7197638,72295,61228,11067,124077
"2002","Suisse","Nationalité (catégorie) - total","Sexe - total",7255653,72372,61768,10604,127340
"2003","Suisse","Nationalité (catégorie) - total","Sexe - total",7313853,71848,63070,8778,119783
"2004","Suisse","Nationalité (catégorie) - total","Sexe - total",7364148,73082,60180,12902,120188
"2005","Suisse","Nationalité (catégorie) - total","Sexe - total",7415102,72903,61124,11779,118270
"2006","Suisse","Nationalité (catégorie) - total","Sexe - total",7459128,73371,60283,13088,127586
"2007","Suisse","Nationalité (catégorie) - total","Sexe - total",7508739,74494,61089,13405,165634
"2008","Suisse","Nationalité (catégorie) - total","Sexe - total",7593494,76691,61233,15458,184297
"2009","Suisse","Nationalité (catégorie) - total","Sexe - total",7701856,78286,62476,15810,160623
"2010","Suisse","Nationalité (catégorie) - total","Sexe - total",7785806,80290,62553,17737,161778
"2011","Suisse","Nationalité (catégorie) - total","Sexe - total",7870134,80808,62091,18717,164612
"2012","Suisse","Nationalité (catégorie) - total","Sexe - total",7954662,82164,64173,17991,175008
"2013","Suisse","Nationalité (catégorie) - total","Sexe - total",8039060,82731,64961,17770,193302
"2014","Suisse","Nationalité (catégorie) - total","Sexe - total",8139631,85287,63938,21349,187326
"2015","Suisse","Nationalité (catégorie) - total","Sexe - total",8237666,86559,67606,18953,188515
"2016","Suisse","Nationalité (catégorie) - total","Sexe - total",8327126,87883,64964,22919,191683
"2017","Suisse","Nationalité (catégorie) - total","Sexe - total",8419550,87381,66971,20410,170945
"2018","Suisse","Nationalité (catégorie) - total","Sexe - total",8484130,87851,67088,20763,170085
"2019","Suisse","Nationalité (catégorie) - total","Sexe - total",8544527,86172,67780,18392,169573
"2020","Suisse","Nationalité (catégorie) - total","Sexe - total",8606033,85914,76195,9719,163180
"2021","Suisse","Nationalité (catégorie) - total","Sexe - total",8670300,89644,71192,18452,165640
"2022","Suisse","Nationalité (catégorie) - total","Sexe - total",8738791,82371,74425,7946,190883
"2023","Suisse","Nationalité (catégorie) - total","Sexe - total",8815385,80024,71822,8202,263081
"2024","Suisse","Nationalité (catégorie) - total","Sexe - total",8962258,78256,71942,6314,212578
