"Année","Canton (-) / District (>>) / Commune (......)","Nationalité (catégorie)","Sexe","Effectif au 1er janvier","Naissance vivante","Décès","Accroissement naturel","Immigration, y compris les changements de type de population"
"1981","- Genève","Nationalité (catégorie) - total","Sexe - total",349562,3562,3145,417,10881
"1982","- Genève","Nationalité (catégorie) - total","Sexe - total",352461,3628,3182,446,12129
"1983","- Genève","Nationalité (catégorie) - total","Sexe - total",355806,3619,3112,507,11013
"1984","- Genève","Nationalité (catégorie) - total","Sexe - total",357752,3768,3167,601,12058
"1985","- Genève","Nationalité (catégorie) - total","Sexe - total",360462,3693,3138,555,11156
"1986","- Genève","Nationalité (catégorie) - total","Sexe - total",362157,3934,3007,927,11038
"1987","- Genève","Nationalité (catégorie) - total","Sexe - total",363550,3864,3102,762,10942
"1988","- Genève","Nationalité (catégorie) - total","Sexe - total",365525,4254,3198,1056,16017
"1989","- Genève","Nationalité (catégorie) - total","Sexe - total",371356,4268,3124,1144,14582
"1990","- Genève","Nationalité (catégorie) - total","Sexe - total",373019,4377,3242,1135,16599
"1991","- Genève","Nationalité (catégorie) - total","Sexe - total",378655,4739,3244,1495,17053
"1992","- Genève","Nationalité (catégorie) - total","Sexe - total",381404,4695,3084,1611,16141
"1993","- Genève","Nationalité (catégorie) - total","Sexe - total",383911,4655,3136,1519,16238
"1994","- Genève","Nationalité (catégorie) - total","Sexe - total",387606,4635,3211,1424,15295
"1995","- Genève","Nationalité (catégorie) - total","Sexe - total",391699,4629,3172,1457,14588
"1996","- Genève","Nationalité (catégorie) - total","Sexe - total",395466,4853,3233,1620,11799
"1997","- Genève","Nationalité (catégorie) - total","Sexe - total",394588,4612,3158,1454,13121
"1998","- Genève","Nationalité (catégorie) - total","Sexe - total",396659,4455,3198,1257,13532
"1999","- Genève","Nationalité (catégorie) - total","Sexe - total",398910,4598,3089,1509,14661
"2000","- Genève","Nationalité (catégorie) - total","Sexe - total",403067,4828,3034,1794,15386
"2001","- Genève","Nationalité (catégorie) - total","Sexe - total",408146,4526,3001,1525,16096
"2002","- Genève","Nationalité (catégorie) - total","Sexe - total",413618,4646,3076,1570,16417
"2003","- Genève","Nationalité (catégorie) - total","Sexe - total",418747,4368,3230,1138,17306
"2004","- Genève","Nationalité (catégorie) - total","Sexe - total",423993,4714,2919,1795,16250
"2005","- Genève","Nationalité (catégorie) - total","Sexe - total",427396,4806,3054,1752,16259
"2006","- Genève","Nationalité (catégorie) - total","Sexe - total",430638,4735,3012,1723,17389
"2007","- Genève","Nationalité (catégorie) - total","Sexe - total",433235,4804,3086,1718,20433
"2008","- Genève","Nationalité (catégorie) - total","Sexe - total",438177,4787,3065,1722,23170
"2009","- Genève","Nationalité (catégorie) - total","Sexe - total",446106,4837,3140,1697,21681
"2010","- Genève","Nationalité (catégorie) - total","Sexe - total",453292,5007,3123,1884,22272
"2011","- Genève","Nationalité (catégorie) - total","Sexe - total",457715,4981,3045,1936,19660
"2012","- Genève","Nationalité (catégorie) - total","Sexe - total",460534,5030,3151,1879,19561
"2013","- Genève","Nationalité (catégorie) - total","Sexe - total",463101,5167,3322,1845,23897
"2014","- Genève","Nationalité (catégorie) - total","Sexe - total",469433,5282,3159,2123,23269
"2015","- Genève","Nationalité (catégorie) - total","Sexe - total",477385,5388,3405,1983,24640
"2016","- Genève","Nationalité (catégorie) - total","Sexe - total",484736,5361,3220,2141,21167
"2017","- Genève","Nationalité (catégorie) - total","Sexe - total",489524,5441,3342,2099,21218
"2018","- Genève","Nationalité (catégorie) - total","Sexe - total",495249,5353,3385,1968,20870
"2019","- Genève","Nationalité (catégorie) - total","Sexe - total",499480,5350,3369,1981,20852
"2020","- Genève","Nationalité (catégorie) - total","Sexe - total",504128,5159,4279,880,18208
"2021","- Genève","Nationalité (catégorie) - total","Sexe - total",506343,5245,3288,1957,18579
"2022","- Genève","Nationalité (catégorie) - total","Sexe - total",509448,5070,3721,1349,21532
"2023","- Genève","Nationalité (catégorie) - total","Sexe - total",514114,4763,3553,1210,27122
"2024","- Genève","Nationalité (catégorie) - total","Sexe - total",524410,4747,3543,1204,24129
